lexeme_id,ex_zhh,ex_chs,ex_en
L71,扑街冚家铲,一个极度恶毒的粤语粗话，意思是诅咒对方“全家死光”或“全家倒霉,"This is an extremely vicious Cantonese swear word that means to curse the other person's ""entire family to die"" or ""entire family to suffer bad luck."""
L71,扑你個街,我去你的,Go to hell
L71,食你個屎,吃屎去吧,Go eat shit
L71,食屎啦去,吃屎去吧,Go eat shit
L71,仆街啦你,去死吧,Go to hell
L72,笨撚柒,该硬的时候不硬，浪费机会；形容应该出风头时不出来,Failing to stand up when you should has wasted an opportunity; describes someone who doesn't step up when they should be in the limelight.
L72,笨柒咗,意识到蠢了，做了傻事,"Realizing he was being foolish, he did something stupid."
L72,你唔係咁笨柒，咁都信啊嗎？,你不会这么蠢，这样都相信吧,"You can't be that stupid to believe something like that, right?"
L73,非洲和尚，乞人憎,歇后语；非洲和尚是黑人“僧” “僧”是讨厌的意思，乞人憎=令人讨厌,"A Chinese proverb: African monks are black ""monks"" (僧). ""Monk"" (僧) means annoying or disliked; therefore, ""a hateful person"" (乞人憎) is the same as ""annoying"" (令人讨厌)."
L73,你好乞人憎,你好讨厌,You're so annoying
L73,犯众憎,众人都讨厌你,Everyone hates you
L74,樣衰都唔系罪过啫,丑也不是罪过,Being ugly is not a mistake
L74,衰咩入嚟？衰樣衰,因为什么原因进来？因为倒霉,Why did you come in? Because of bad luck.
L75,成舊垃圾噉,活成就像垃圾一样,Live like trash
L75,冇鸠用/冇撚用/冇叱用,没用的东西,Useless things
L75,有鸠用咩/有撚用咩/有叱用咩,是有用的东西吗？,Is it something useful?
L76,收爹啦你,闭嘴吧你,Shut up!
L77,屌鳩撚柒你個冚家仱,“去你妈的混蛋”，骂人的脏话[口语],"'fuck you you bastard', foul language when cursing someone [colloquial]"
L77,我屌,“我去”或者是“不是吧”,Oh my god
L77,屌唔屌,做不做或者好不好或者我爱你,"Do it or not, or good or bad, or I love you."
L77,我屌！,棒极了,Fantastic
L77,我屌,你好呀,hello
L77,屌,糟糕透了,It's terrible
L77,屌,没门,No way
L77,屌,准备要说对不起了或者不好意思,I'm about to say sorry or embarrassed.
L77,屌,那当然,Of course
L77,屌鸠你咩，噉都做唔晒,去你的这么久都做不完,"Screw you, it's been so long and you still can't finish."
L78,屌你老母我忍你就食得屎啦,我操你妈，我忍你我就是孙子,"I'll fuck your mum. If I put up with you, I'd be a coward."
L79,屌那妈！顶硬上,去他妈的，硬着头皮上,FUCK HIS MOM! HIT THE HARD!
L79,屌佢鹵味唔放人,去他妈的，不放人,"Screw it, they won't release him."
L80,屌到你反艇就問你驚唔驚,操到你爽，就问你怕不怕,"I'll fuck you until you're satisfied, then I'll ask you if you're scared."
L81,你真系笑撚死我，咁噶嘢都做得出,真的笑死我了，这样的事你都能做出来,This is absolutely hilarious! How could you do something like this?
L82,老老閪閪,嘚嘚瑟瑟,smug and smug
L82,招招积积,嚣张,Arrogant
L82,鸠鸠屎,嘚嘚瑟瑟,smug and smug
L83,驚你俾人劏,怕你被人骗,I'm afraid you'll be scammed.
L83,劏死牛,可以是被骗被宰，也可以是抢劫,"It could be being scammed or ripped off, or it could be robbery."
L84,老笠,也可以上升为绑架的意思,It can also be interpreted as kidnapping.
L85,契弟,原指男同性恋，后来演变成骂人的话,"Originally referring to male homosexuality, it later evolved into an insult."
L86,今次閪晒,这次出大事了,This is a big deal.
L86,今次叼閪啦,这次出大事了,what the hell
L86,今次碌柒,这次出大事了,what the hell
L86,今次含撚囖,这次出大事了,what the hell
L87,乱鳩咁噏,胡说八道,Nonsense
L88,点解可以咁醜樣,怎么可以做到这么丑,How could it be so ugly?
L89,核突报警,丑哭了，恶心到要报警,"It's so ugly it makes me want to cry, it's so disgusting I want to call the police."
L89,核撚突突,特别恶心,Extremely disgusting
,,,
,,,
,,,
,,,
,,,
,,,
,,,
L114,柒知,不知道,
L114,知閪,知道你妹,
L114,知碌柒,知道哥锤子,
L114,知鸠,不知道,
L114,唔撚知,不知道,
L114,知柒,不知道,
L114,鬼撚知,不知道,
